Gene Group,M/L MOCK R1 0h,H/L MOCK R1 0h,M/L LPS R1 0h,H/L LPS R1 0h,M/L MOCK R2 0h,H/L MOCK R2 0h,M/L LPS R2 0h,H/L LPS R2 0h,M/L MOCK R1  0.5h,H/L MOCK R1  0.5h,M/L LPS R1  0.5h,H/L LPS R1  0.5h,M/L MOCK R2  0.5h,H/L MOCK R2  0.5h,M/L LPS R2  0.5h,H/L LPS R2  0.5h,M/L MOCK R1 01h,H/L MOCK R1 01h,M/L LPS R1 01h,H/L LPS R1 01h,M/L MOCK R2 01h,H/L MOCK R2 01h,M/L LPS R2 01h,H/L LPS R2 01h,M/L MOCK R1 02h,H/L MOCK R1 02h,M/L LPS R1 02h,H/L LPS R1 02h,M/L MOCK R2 02h,H/L MOCK R2 02h,M/L LPS R2 02h,H/L LPS R2 02h,M/L MOCK R1 03h,H/L MOCK R1 03h,M/L LPS R1 03h,H/L LPS R1 03h,M/L MOCK R2 03h,H/L MOCK R2 03h,M/L LPS R2 03h,H/L LPS R2 03h,M/L MOCK R1 04h,H/L MOCK R1 04h,M/L LPS R1 04h,H/L LPS R1 04h,M/L MOCK R2 04h,H/L MOCK R2 04h,M/L LPS R2 04h,H/L LPS R2 04h,M/L MOCK R1 05h,H/L MOCK R1 05h,M/L LPS R1 05h,H/L LPS R1 05h,M/L MOCK R2 05h,H/L MOCK R2 05h,M/L LPS R2 05h,H/L LPS R2 05h,M/L MOCK R1 06h,H/L MOCK R1 06h,M/L LPS R1 06h,H/L LPS R1 06h,M/L MOCK R2 06h,H/L MOCK R2 06h,M/L LPS R2 06h,H/L LPS R2 06h,M/L MOCK R1 09h,H/L MOCK R1 09h,M/L LPS R1 09h,H/L LPS R1 09h,M/L MOCK R2 09h,H/L MOCK R2 09h,M/L LPS R2 09h,H/L LPS R2 09h,M/L MOCK R1 12h,H/L MOCK R1 12h,M/L LPS R1 12h,H/L LPS R1 12h,M/L MOCK R2 12h,H/L MOCK R2 12h,M/L LPS R2 12h,H/L LPS R2 12h,M/L MOCK R1 24,H/L MOCK R1 24,M/L LPS R1 24,H/L LPS R1 24,M/L MOCK R2 24,H/L MOCK R2 24,M/L LPS R2 24,H/L LPS R2 24
Nup205;mKIAA0225,2.483383682,NA,2.483383682,NA,2.522053565,0.928440518,2.522053565,0.928440518,2.450266824,0.367901552,2.004595949,0.157932429,2.389824992,0.184723694,2.460823716,0.293340444,1.907665067,0.046078847,2.024209638,1.435049303,2.654740866,0.540282921,2.681679124,0.419043394,2.092911602,3.967331995,2.158278955,2.963544169,2.388359272,0.129956364,2.4789507,0.054870575,2.007135607,0.233596662,2.107302094,0.176491877,2.572731742,0.238928673,2.823551742,0.606087317,2.312217419,0.620950406,2.09205493,0.472195189,2.590068317,0.176600672,3.072503835,0.154471791,2.12264724,2.337462487,1.684934788,2.113432504,2.400493089,0.358864777,2.473001362,0.13726057,2.263641736,1.157883282,2.052259066,1.092331438,2.877244617,0.344960338,2.55932654,NA,2.238527639,NA,1.693777813,NA,2.616972315,0.151949808,2.248696294,0.111600254,1.940063719,0.12648847,1.942907182,0.109667287,2.300514795,0.260186112,2.164790732,0.368532789,2.786629925,0.384249432,1.717424387,0.306554778,4.105531266,0.769397022,2.459897032,0.556413032
Osbpl8,34.60519024,11.02464282,34.60519024,11.02464282,24.86856177,9.223260927,24.86856177,9.223260927,33.67335893,7.261292508,41.07239342,7.388509298,24.24246455,7.358500638,27.82433764,12.32688782,34.42673866,5.501233654,40.6441709,8.507188455,24.28101054,5.959212639,27.19715287,8.085583237,35.92810546,7.580727522,41.69638832,12.50112891,23.65467235,2.695803721,27.4310765,4.209406139,32.92217024,8.769360851,34.53378234,12.06994904,27.25617908,5.460966546,24.36365973,4.893236055,39.3207047,7.904765742,37.37064421,9.634803965,25.90011431,6.63963284,25.58307855,4.14530352,40.50504734,12.97230845,37.74215587,7.646187307,26.68937296,4.823764466,24.18306992,7.055444897,34.42711655,5.635269517,35.08073633,5.590702878,26.85269773,10.15586483,25.11742205,4.235276364,35.93954336,8.706438884,29.19851412,8.431153561,28.14923626,5.489037772,22.18273891,4.338921067,36.82024211,12.66430954,34.33976683,16.025843,27.05424531,6.741741377,23.28844835,8.421044279,49.35861999,27.69182137,27.71899058,13.34522271,35.7237624,22.56433014,20.54774699,10.2742869
Mon2,1.630965872,1.192123668,1.630965872,1.192123668,1.191711562,0.368969809,1.191711562,0.368969809,1.516488253,0.214160453,1.003675386,0.522290046,1.097508698,NA,0.858955486,NA,1.809547475,0.739752822,1.066750483,0.360693955,0.898390413,0.280579418,0.953537533,NA,1.36188228,0.560807086,1.511720551,NA,0.941328064,0.12624347,1.044119201,0.689691396,1.184028116,NA,1.125835519,NA,0.859390702,0.616773078,1.031705057,NA,1.260612666,0.866649573,1.333694566,1.659164194,0.919533875,NA,0.898912296,0.171979658,1.398815126,0.777325063,1.313892493,0.881745509,0.889283835,0.21077393,0.84676893,0.093030884,1.207013583,0.749453073,1.301049265,0.932895295,0.967069862,0.25394436,0.935534084,0.480137242,1.362086168,0.483726057,1.740263157,1.39078701,0.816810351,0.20316071,0.726100355,0.136040193,1.421478175,1.17627079,1.569290234,0.847638463,0.538217071,0.179753528,0.880294973,0.344800643,0.977937551,0.71199569,1.853380437,0.933963131,0.574354863,0.238385643,0.666285516,0.42294772
Kdm3b;mKIAA1082,2.657871101,0.497406278,2.657871101,0.497406278,3.019649994,1.262030088,3.019649994,1.262030088,2.649860476,1.019228427,2.393850307,1.065340809,2.828709183,0.607463702,2.726378308,0.707839015,2.662886385,0.903403571,2.502062669,0.332052016,2.810825782,1.335512798,2.628889723,0.988823795,2.417834084,0.544191711,2.558795544,1.551828777,2.192394525,0.258287795,2.59480727,0.566239244,2.236499318,2.092530826,2.50506375,1.321481556,2.635669285,0.467662888,3.355932578,0.511670614,1.954698593,1.362391386,2.357077655,1.785464527,2.474104097,0.58597505,2.745819865,0.752789268,1.921899695,0.446498595,2.306183578,0.529940341,2.466112275,0.549138273,3.112968594,0.816896071,1.99320175,0.537647038,2.258895691,0.647952768,2.030241689,1.337652672,2.717478295,0.600815889,1.622017421,0.726875411,2.532157023,1.140856404,2.256136071,0.606126109,2.541414057,0.892452795,NA,NA,1.614094093,0.722004749,1.768610685,0.796396709,2.528319218,1.121404527,1.269981412,1.935408435,1.051859321,1.340181718,1.21998227,0.981688268,1.506943932,2.217296056
Mndal,7.903020643,0.780451018,7.903020643,0.780451018,5.4379545,0.227057368,5.4379545,0.227057368,8.418528441,0.876190349,8.458700145,0.673520594,5.865800813,0.492641123,5.946219697,0.420199662,7.832200456,0.539224987,8.827312117,1.113867521,5.595610344,0.463727498,5.713616563,0.469759577,8.457978727,0.667223903,8.894926437,0.945749937,6.325647765,0.483855613,5.666555656,0.605584602,7.628891282,1.005337453,8.16454459,1.679329336,6.11594124,0.657770536,NA,NA,8.71330912,0.922084393,8.319909197,2.639669123,6.048721745,0.312997475,5.624396747,1.881017661,8.574731551,1.185035914,NA,NA,6.069549369,0.318498858,5.267702495,3.147883683,9.797873316,1.346818365,8.502327709,8.376075541,6.230808276,0.747757158,4.704788355,5.409303705,9.321712327,0.850997949,3.665574662,10.65649433,6.20951306,0.499592745,2.644403474,6.513891035,8.248850612,1.233304091,NA,NA,NA,NA,2.724942774,6.485289461,7.697251451,2.002190994,2.147028214,8.01113188,6.023535839,4.187634628,2.671695575,5.854747937
Sec11a,24.93807426,4.914328677,24.93807426,4.914328677,19.25532168,2.209664612,19.25532168,2.209664612,24.54233165,3.63251589,22.17578838,3.036235526,18.29379749,3.465347282,16.29191762,1.960413586,19.86260599,2.62726772,23.87644371,5.088560528,15.38002777,3.387375172,16.29811521,3.413012166,23.78652997,25.40923915,27.96478701,23.56099195,9.924480906,3.635424626,15.24809899,2.622994323,19.73652519,15.9882598,24.35422202,23.85153875,12.58879811,2.307290878,13.93916113,66.69284049,22.81461778,12.77882462,23.20824957,14.89366402,12.69365827,52.27575908,16.126732,64.50121538,18.37229321,2.507166827,20.65385976,4.534753709,14.59451051,40.25324052,14.99691131,52.23749982,19.54084015,1.991502212,19.38383064,4.042607182,12.87862682,0.958805513,14.78420457,1.207606939,20.51725168,2.172219718,21.94708094,2.41090595,13.84073189,23.60933368,13.35176074,34.76725899,20.08106816,2.403735092,19.84248235,3.360266184,12.70892037,13.73646262,13.81304094,1.892319002,19.11591958,3.419996392,20.70048122,4.311117757,9.48127955,1.625499208,14.78978131,2.788285441
Osbpl3,3.260915055,1.455261051,3.260915055,1.455261051,2.996158825,0.340646727,2.996158825,0.340646727,3.079949761,0.742542923,2.753381975,0.775694274,2.70602901,0.826435887,2.767937505,1.355003107,2.843910978,1.164947162,3.145451757,1.510108285,2.721206177,1.223820856,2.597863004,1.127198501,2.086427399,1.009937163,3.002327105,1.012993317,3.829474462,NA,2.537412534,0.880731011,2.481661965,1.426487122,2.481571512,1.506657253,2.591972532,0.97878683,2.842915319,0.569487957,3.834997836,1.597277595,3.061619347,1.166504907,2.866931152,0.129178176,2.704197782,0.779820002,3.255020442,1.560342454,3.160636736,0.919066089,1.878434434,0.188592164,2.706194647,0.515325565,3.341028858,0.53836294,3.385304126,2.364251344,2.38599115,0.557932714,2.537442587,0.802992148,3.093458359,0.990647354,2.601909501,2.357476213,2.126918055,0.471761155,2.279476666,1.954720053,2.661754522,1.568672678,2.72126637,4.252605308,2.054001171,0.350193431,2.121141142,3.212190998,2.046579902,2.024868761,2.562648912,8.558546478,2.077052474,1.380345212,2.200872977,7.034204364
Nmral1,39.19984771,5.40603189,39.19984771,5.40603189,103.0822608,6.590188467,103.0822608,6.590188467,42.26646596,15.74853161,40.58153865,11.2273617,102.0139493,9.042818201,92.00867715,20.8868254,39.29767491,18.49631111,41.80819667,16.49869252,105.2271098,9.810647835,91.37557474,15.50195271,43.21240425,8.440569602,39.54030613,13.10040807,102.1596814,9.031035652,104.5187685,22.32318685,41.26285835,21.96982978,41.60976194,13.97199381,104.5191712,25.44884815,105.7259809,30.50335693,36.84342821,11.25477559,42.64579778,15.88772302,105.7716403,21.02283672,99.84068031,12.72647298,41.08301376,4.283589046,43.41252987,7.921465487,99.49989261,16.45679423,103.804562,14.95001578,39.87555841,5.952531192,42.15932249,7.605422038,99.90938535,9.215207877,109.2698442,11.21567735,42.05589339,6.319815347,44.33335298,8.410512798,109.1248378,27.3697672,104.9528581,8.679849481,45.79167457,11.32703688,43.48520828,10.67789966,96.8592681,10.39958796,95.32476254,8.82067534,35.38328611,13.5916099,40.31213376,7.205029881,85.72447679,20.85748021,80.25767381,16.68528278
Ncln,9.171210508,4.056067248,9.171210508,4.056067248,6.836802958,2.23107258,6.836802958,2.23107258,9.183939627,1.755980825,10.18305621,3.452942726,5.707517575,2.158929727,5.584796511,2.24928576,8.327057459,2.30859922,9.980704523,3.364046495,4.476298129,2.522056139,5.137690042,2.897837824,9.416038349,3.969508145,9.936643199,4.088634594,3.556360301,3.544967476,5.223232591,1.10205068,9.100830511,3.777515063,10.68263712,2.850193671,4.418909496,1.963168221,4.588432487,0.714516136,10.30415118,8.711070961,8.757732576,3.518038649,4.616204307,1.414136432,5.413097362,1.271400407,7.692246145,2.245628485,7.645814586,1.874130476,5.39304551,2.530498515,4.980418039,1.523849351,9.258074086,3.753043444,7.270019119,8.85233491,4.962537905,1.79568838,NA,NA,7.866375214,12.29668015,9.079922565,3.730957467,6.42681201,1.579128477,4.754065519,NA,7.88758376,23.83247813,9.441956931,4.870283688,4.917222793,3.449901145,4.141644074,1.9246161,8.336944099,5.082163677,9.445682131,6.27238813,4.662388909,2.246509606,5.828655904,2.159103496
Lemd3,1.113647892,0.121382942,1.113647892,0.121382942,3.258633526,0.62961256,3.258633526,0.62961256,1.478731751,0.345250658,1.764636603,0.201058456,2.481359461,0.331800242,3.043766345,1.21278963,1.20137524,0.509644251,1.836435288,0.151444809,2.280769083,NA,3.165880351,0.724695487,1.574969559,NA,1.565606897,NA,3.017702563,2.392933117,2.846881118,0.970435525,1.569436117,NA,1.597622895,0.236967927,3.12684795,1.389231065,2.456063464,0.435097077,1.666591067,0.262407811,1.393638074,0.254327634,2.719270005,0.736387868,2.373315736,0.744968677,1.840793902,0.265987331,1.441359979,0.330515118,2.652256907,0.760860822,2.475955337,0.712315839,1.397447592,0.459216947,1.205813675,0.436957101,2.938897587,0.297923108,3.517889917,0.734302571,1.582117007,0.227665281,1.32808583,0.535070521,2.771343456,0.680632951,2.615165726,0.561063455,1.672992892,0.238914557,0.93056706,0.260669899,2.935265358,1.013532313,1.862567445,0.789994346,1.432850859,0.640797665,0.77589593,0.563574453,3.152055999,2.015203933,1.211261994,0.810397337
