Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Mcm7,86.81468072,101.4427036,86.81468072,101.4427036,78.41453308,86.12944892,60.78094115,65.58814837,70.68003183,81.69799801,45.78025386,32.80058535,64.46876982,60.01912635,13.39770813,21.30735136,66.20161544,90.10113995,12.40162387,17.1185575,62.94886982,69.0154839,16.06518482,25.48137227,68.01136435,78.54195584,15.37923091,12.89734918
Pcbp2,470.8581718,411.1591644,470.8581718,411.1591644,322.4036209,409.2730919,351.5941189,401.2368784,316.1374788,386.7221115,397.776047,381.7459553,384.0793258,379.0182897,314.3732085,360.7930809,326.5210609,392.6520604,299.9663563,298.0363075,360.1583985,370.6227778,286.7104305,296.315105,326.279417,395.3241055,275.2778377,237.2448111
Ctr9,19.64883356,34.95240126,19.64883356,34.95240126,16.6071997,26.00212065,18.772145,31.37671956,22.50776834,22.11206369,12.30945044,15.13185888,26.53574367,20.31286886,10.93612096,28.28110274,19.76207639,33.99318362,9.791039212,16.82569142,22.78216893,33.56872958,7.947657589,17.98602842,19.86942625,27.91722391,9.274899195,15.97612776
Pea15a,269.1070612,247.4852538,269.1070612,247.4852538,250.1214981,227.9080496,216.5694617,214.0523453,232.6168296,266.1993307,212.1221819,198.6510352,264.6223844,225.6940055,143.6462886,135.9820128,239.4997418,305.2687229,111.4127106,117.050315,253.5524283,251.2278784,110.0774498,136.6780201,246.9829511,243.2178777,102.5669762,100.3855131
Ppp1r14b,504.6372031,650.7614268,504.6372031,650.7614268,605.0587258,516.2313232,457.7975692,450.5942656,548.7668772,585.0592509,353.2536686,409.5213358,582.7697278,600.4639371,365.454959,322.194705,593.726678,644.5872153,268.5601236,276.0312748,658.3523246,569.8165445,209.5473111,273.2214519,582.6540411,517.2624291,185.7108488,264.4645155
Pon2,258.9055691,183.4450436,258.9055691,183.4450436,228.7765131,231.1064553,188.0641513,131.6753798,197.1413174,198.2039184,175.4995514,184.163848,173.4261567,218.5281415,122.0899379,103.229615,216.6244665,170.697412,128.5181127,121.6835354,217.2371698,235.5157997,140.095421,116.1800495,212.0295704,208.3119642,128.4642424,111.0453926
Pon3,92.77710213,68.38999656,92.77710213,68.38999656,71.56231788,74.91478769,73.3697244,45.48309804,58.66447644,62.64600283,57.70079878,60.4944048,62.44321069,64.21688725,48.29730485,46.91377352,73.62971433,38.85979991,46.97725498,43.69020739,56.72834834,65.69957327,44.16192756,25.96801694,64.1807231,77.07075838,39.46566673,27.83989232
Srsf2,478.2701044,695.5011574,478.2701044,695.5011574,542.7986221,713.8326539,555.0222641,483.9826608,460.0778927,759.5243252,413.3357967,630.9384644,643.9185496,654.4628278,288.9220168,411.053392,585.3892462,589.0697498,285.0570392,265.9292748,469.4977462,539.2952126,228.1732079,302.6428183,463.3259707,471.3703552,245.1775099,322.28217
D1Pas1;Ddx3x;Ddx3y,151.7147387,155.718763,151.7147387,155.718763,128.6853024,146.4127547,178.6851345,209.5324559,109.9993837,157.4431769,145.8807872,165.8060937,162.0554883,129.0706134,98.22869892,101.9256001,118.6786221,177.6211862,70.07935869,82.16578507,123.0555941,132.5513372,55.54243626,81.06447191,105.6405121,144.0938195,56.44093648,63.16416318
Aldh1a2,34.61815077,25.61768457,34.61815077,25.61768457,29.19062517,42.66281639,24.83551443,43.4073855,28.69995463,22.52003921,55.99039344,77.69369524,27.86523819,28.24852217,126.1891848,112.0668796,36.44129412,24.79392605,213.0283865,161.2162305,31.20827067,31.81587971,380.1970204,185.7049386,32.09187227,20.65905533,451.7382091,296.4165924
