Gene Group,D0.R1.ESTIMATE,D0.R1.CI.LOW,D0.R1.CI.HI,D0.R2.ESTIMATE,D0.R2.CI.LOW,D0.R2.CI.HI,D(MOCK).R1.ESTIMATE,D(MOCK).R1.CI.LOW,D(MOCK).R1.CI.HI,D(MOCK).R2.ESTIMATE,D(MOCK).R2.CI.LOW,D(MOCK).R2.CI.HI,D(LPS).R1.ESTIMATE,D(LPS).R1.CI.LOW,D(LPS).R1.CI.HI,D(LPS).R2.ESTIMATE,D(LPS).R2.CI.LOW,D(LPS).R2.CI.HI,T0.R1.ESTIMATE,T0.R1.CI.LOW,T0.R1.CI.HI,T0.R2.ESTIMATE,T0.R2.CI.LOW,T0.R2.CI.HI,T(MOCK).R1.ESTIMATE,T(MOCK).R1.CI.LOW,T(MOCK).R1.CI.HI,T(MOCK).R2.ESTIMATE,T(MOCK).R2.CI.LOW,T(MOCK).R2.CI.HI,T(LPS).R1.ESTIMATE,T(LPS).R1.CI.LOW,T(LPS).R1.CI.HI,T(LPS).R2.ESTIMATE,T(LPS).R2.CI.LOW,T(LPS).R2.CI.HI,M0.R1.ESTIMATE,M0.R1.CI.LOW,M0.R1.CI.HI,M0.R2.ESTIMATE,M0.R2.CI.LOW,M0.R2.CI.HI,grass.R1.ESTIMATE,grass.R1.CI.LOW,grass.R1.CI.HI,grass.R2.ESTIMATE,grass.R2.CI.LOW,grass.R2.CI.HI
Bst2,0.011517633,0.002121113,0.06254069,0.10951675,0.043461458,0.275966778,1.316948302,0.783370264,2.213963065,1.964468606,0.913574224,4.224218245,1.297766988,0.774779579,2.173778456,1.526613386,0.759108219,3.070113551,0.001471463,0.001019446,0.002123901,0.001499457,0.001003892,0.002239654,1.145118719,0.755203828,1.736348296,1.080093871,0.667564004,1.74755194,1.265734472,0.841454472,1.903945855,1.386396721,0.859244212,2.236961089,0.773588759,0.147614271,4.054076644,3.779037741,2.487101714,5.742075673,4.074547011,2.895676172,5.733352888,1.481150909,0.643122024,3.41118471
Isoc1,0.006413636,0.002420315,0.016995608,0.003444434,0.001466119,0.008092196,1.299767097,0.779778475,2.166505695,1.695507231,0.762632744,3.769500841,1.252973358,0.755353235,2.078421279,1.161316495,0.561874201,2.400281057,0.006623994,0.001739294,0.025227076,0.014353629,0.010974378,0.018773426,1.193056788,0.77733296,1.831113013,0.909027703,0.595800985,1.38692514,1.229415654,0.798831944,1.892091146,2.32939965,1.630294738,3.328295555,77.68690065,73.52267143,82.08698645,107.9319997,105.3150877,110.6139378,8.896878054,6.669855404,11.86748952,5.997628538,5.365168109,6.704645101
Far1,0.103886714,0.079480491,0.135787403,0.063324972,0.033118713,0.121081158,0.982076286,0.639810499,1.507436706,2.246065693,1.044682986,4.829035379,1.192724627,0.773415842,1.839362421,1.57169677,0.749402417,3.296267373,0.00989266,0.007584188,0.012903785,0.001022365,0.000234565,0.004456041,2.189240496,1.539665706,3.112866598,1.230641837,0.732875623,2.06648889,1.180331772,0.793935667,1.754780834,1.250925434,0.742316443,2.108015328,10.1913833,9.245874141,11.2335829,4.514240994,3.38699728,6.016648396,0.965138255,0.466634544,1.996191376,3.438098971,2.576583661,4.587673482
Adar,0.013512034,0.002369498,0.077052214,0.015473282,0.00322941,0.074138136,1.289415722,0.770644799,2.15740495,1.42601051,0.655070856,3.104253464,1.337961339,0.79237173,2.259218089,1.594667492,0.708105898,3.591220488,0.000873606,0.000377887,0.002019616,0.002148419,0.001272347,0.003627706,1.206459039,0.784275945,1.855907249,1.26203609,0.753196354,2.11463463,1.180232438,0.771021095,1.8066284,1.230691664,0.740767505,2.044638785,0.743563154,0.405402001,1.363797326,1.372463232,0.964781056,1.952417403,1.216662202,0.888303056,1.666398538,1.435018127,1.122947351,1.833814403
Rpl14,0.019541203,0.013939892,0.027393227,0.011746525,0.007518229,0.018352839,1.00547937,0.643207263,1.571793141,0.922445157,0.481182449,1.768362641,1.984426927,1.259821991,3.125798928,4.278358243,2.429668947,7.533680371,0.002525267,0.00198631,0.003210462,0.003743895,0.002139193,0.006552353,0.696169765,0.490918623,0.987235601,1.004575769,0.616277989,1.637528022,3.714627482,2.69002981,5.129481196,1.620570139,0.939816934,2.79442462,812.6387643,786.0785948,840.0963539,1071.935784,1039.045012,1105.867707,26.94382744,23.98069319,30.27309642,43.06173987,32.10231111,57.7626151
Srp19,0.006291747,0.001882238,0.02103139,0.010027982,0.003009271,0.033416877,1.299286387,0.776520046,2.173987813,1.505342395,0.686626693,3.300273281,1.285625635,0.769936368,2.146714122,1.464773886,0.672733568,3.189319872,0.001832806,0.000579185,0.005799832,0.000662153,0.000211607,0.002071988,1.210378106,0.786880722,1.861800803,1.232495801,0.735816709,2.064435182,1.186930682,0.773790427,1.820653751,1.218049891,0.727834379,2.038438387,18.68852658,16.48454232,21.18718367,21.82705241,19.27449824,24.71764563,5.143786942,3.585894078,7.378506872,6.01846514,4.737857895,7.645210861
Zfyve19,0.009470299,0.002412037,0.037182908,0.023636443,0.011021316,0.050690991,1.328839657,0.789860411,2.235603671,1.776555235,0.844105974,3.739042963,1.2833547,0.768402511,2.143406953,1.707308675,0.819117308,3.558590303,0.002941909,0.000738995,0.011711619,0.005607812,0.00037124,0.084709556,1.172106513,0.76372594,1.798856902,1.250743373,0.742221754,2.107670621,1.266638382,0.812382577,1.974898079,1.267068132,0.74926207,2.142723775,6.006614036,5.084226995,7.096341727,4.605177204,2.752209148,7.70568512,3.135340587,2.540489224,3.869475415,3.354566033,1.677911308,6.70661984
Mesdc2,0.006442739,0.001782351,0.023288838,0.036673558,0.014780009,0.090997907,1.276449973,0.764808868,2.130368255,1.213871672,0.583684559,2.524453341,1.308761862,0.780327624,2.19504931,2.084337583,0.944288289,4.600780514,0.005447402,0.000513482,0.05779008,0.003477915,0.000317903,0.038048945,1.212273109,0.786648641,1.868186143,1.260077766,0.746151828,2.127979745,1.213871588,0.787433839,1.871248301,1.256167614,0.744473088,2.119562275,36.96855242,27.96192659,48.87624119,29.87905745,18.86631854,47.32020568,30.86042453,22.81980277,41.73418201,37.20013886,26.4444419,52.33047973
Clic4,0.012514401,0.008395977,0.018653008,0.008223519,0.004617454,0.014645791,1.275580629,0.798062682,2.038819729,1.773839233,0.871560507,3.610197568,1.396574599,0.872678336,2.234982274,1.198744504,0.600981245,2.391070267,0.033795345,0.026554832,0.043010076,0.044143548,0.033134443,0.058810492,1.188706967,0.784595028,1.800959989,1.164780151,0.715256713,1.89681939,1.378316542,0.936859513,2.027792281,1.887757006,1.215177461,2.932597605,277.7507063,256.1341433,301.1916095,364.7164884,338.9622114,392.4275699,117.6667548,98.14932666,141.06531,104.5752803,82.52277848,132.5208562
Gtl-13;Nup160,0.008710787,0.001904995,0.039830974,0.007552717,0.003638804,0.015676452,1.294358016,0.773102538,2.167063992,1.394670261,0.669667933,2.904581568,1.309316183,0.780148317,2.197414044,1.548963872,0.734530136,3.266427011,0.0073465,0.00046295,0.116580772,0.000837235,0.000200231,0.003500776,1.214519315,0.78780057,1.872373825,1.241073576,0.737869193,2.087448067,1.212489393,0.78677343,1.868556399,1.237473661,0.736079254,2.080402422,0.766670746,0.148888258,3.947819943,1.849063841,1.68641294,2.027402072,1.985463417,1.061296124,3.714387428,0.418348882,0.287515734,0.60871725
