Gene Group,D0.R1.ESTIMATE,D0.R1.CI.LOW,D0.R1.CI.HI,D0.R2.ESTIMATE,D0.R2.CI.LOW,D0.R2.CI.HI,D(MOCK).R1.ESTIMATE,D(MOCK).R1.CI.LOW,D(MOCK).R1.CI.HI,D(MOCK).R2.ESTIMATE,D(MOCK).R2.CI.LOW,D(MOCK).R2.CI.HI,D(LPS).R1.ESTIMATE,D(LPS).R1.CI.LOW,D(LPS).R1.CI.HI,D(LPS).R2.ESTIMATE,D(LPS).R2.CI.LOW,D(LPS).R2.CI.HI,T0.R1.ESTIMATE,T0.R1.CI.LOW,T0.R1.CI.HI,T0.R2.ESTIMATE,T0.R2.CI.LOW,T0.R2.CI.HI,T(MOCK).R1.ESTIMATE,T(MOCK).R1.CI.LOW,T(MOCK).R1.CI.HI,T(MOCK).R2.ESTIMATE,T(MOCK).R2.CI.LOW,T(MOCK).R2.CI.HI,T(LPS).R1.ESTIMATE,T(LPS).R1.CI.LOW,T(LPS).R1.CI.HI,T(LPS).R2.ESTIMATE,T(LPS).R2.CI.LOW,T(LPS).R2.CI.HI,M0.R1.ESTIMATE,M0.R1.CI.LOW,M0.R1.CI.HI,M0.R2.ESTIMATE,M0.R2.CI.LOW,M0.R2.CI.HI,grass.R1.ESTIMATE,grass.R1.CI.LOW,grass.R1.CI.HI,grass.R2.ESTIMATE,grass.R2.CI.LOW,grass.R2.CI.HI
Aifm1,0.011576022,0.004181468,0.032047185,0.00597239,0.002139324,0.016673234,1.301800547,0.780847538,2.170314413,1.188608948,0.567226354,2.490700973,1.369677376,0.813741718,2.30541961,1.773259044,0.765923924,4.10543076,0.008014814,0.0019014,0.033784178,0.004766126,0.000824381,0.027555179,1.222057686,0.794413308,1.879909329,1.288814103,0.762377342,2.178765949,1.207163277,0.784893565,1.856612468,1.207295615,0.719526903,2.025723701,74.01235339,67.93189025,80.63706802,85.69079651,81.05332738,90.59359861,17.98347051,15.83331441,20.42561672,14.91097983,13.27156738,16.7529059
Tmem214,0.024200787,0.003216267,0.182098725,0.073208352,0.039777975,0.134734429,1.349956854,0.798573359,2.282048964,2.624269509,1.282306028,5.370629402,1.307941706,0.780208271,2.192634415,1.018274789,0.513803501,2.018054655,0.002748215,0.000556086,0.013581874,0.002161555,0.000635468,0.007352565,1.19677479,0.778526649,1.839718523,1.263899281,0.752345982,2.123280285,1.215926301,0.788681611,1.874618032,1.207096324,0.721696538,2.018967055,0.729597182,0.191179614,2.784355693,1.84978896,1.442987701,2.371273985,2.09824629,1.384801883,3.17925441,1.017223527,0.657860777,1.57289162
Smad2,0.032068411,0.024664391,0.041695049,0.035396119,0.026947139,0.046494185,0.855035871,0.560842224,1.303550821,0.809163221,0.461322478,1.419278598,2.925895454,2.016106346,4.246236427,2.502266118,1.655215978,3.78279077,0.00604276,0.00424068,0.008610634,0.005354523,0.004334407,0.006614725,1.002833126,0.681547496,1.475574753,1.161045867,0.791889483,1.702292472,1.705769661,1.130488617,2.573798702,2.63044244,1.914378182,3.614347203,9.849098776,9.355873478,10.36832605,11.58488822,11.22228805,11.95920426,1.053275102,0.717037967,1.547182284,0.715147223,0.546162906,0.936415757
Pcnt,0.021071903,0.005948535,0.074644451,0.017826327,0.007969718,0.03987317,1.368431336,0.808441694,2.316313391,1.271858388,0.612184426,2.642379797,1.261658228,0.75712972,2.102389384,2.056500129,0.92362286,4.578917396,0.000905752,0.000423067,0.001939142,0.000287651,0.000156381,0.000529111,1.206467624,0.787642637,1.848000678,1.215803831,0.738176901,2.002472513,1.244299624,0.808116056,1.915914851,1.298630538,0.77224295,2.183822171,0.535266889,0.455206806,0.629407642,0.525448543,0.474154566,0.582291497,0.168061561,0.129818505,0.217570585,0.138020185,0.116674964,0.16327043
Stx5a,0.005316278,0.001582449,0.017860172,0.021171122,0.004144861,0.108137858,1.222198291,0.736129016,2.029221276,1.539284927,0.695178839,3.408328839,1.338364282,0.793623603,2.257013204,1.571548013,0.705298084,3.501729571,0.002201154,0.000567945,0.008530895,0.004623366,0.001535559,0.013920349,1.194649012,0.77783045,1.834829507,1.221986564,0.731963801,2.040061491,1.215318498,0.789256507,1.871380267,1.29645482,0.769486114,2.184308552,4.876748837,4.032794253,5.897320252,7.69522173,5.719026533,10.35428619,2.700371616,1.968229598,3.70485581,2.067504774,1.458028316,2.93175101
Slk,0.015607347,0.011679053,0.020856938,0.012122665,0.007849066,0.018723118,1.673475789,1.096064798,2.555069026,2.394903333,1.304415901,4.397034696,0.988723619,0.642456536,1.521619505,1.129848163,0.589697257,2.164766507,0.006251214,0.00327087,0.01194718,0.00247574,0.001536317,0.003989599,1.252043881,0.819713041,1.912393486,1.390316428,0.85431593,2.262605325,1.291258561,0.831833277,2.004426508,1.132539133,0.694886942,1.845832481,42.45347225,40.9833465,43.97633332,38.5559697,37.46494661,39.67876467,6.86565095,5.694482917,8.277689767,6.604835819,6.126075921,7.121011355
Ptprc,0.013215574,0.006757448,0.025845761,0.009489355,0.004195375,0.021463599,1.367126013,0.824843501,2.265925033,1.669860016,0.769743693,3.622546699,1.285956825,0.781255482,2.11670189,1.483475682,0.70006259,3.143576202,0.007140688,0.005738683,0.008885214,0.007684929,0.006081009,0.009711896,1.195302909,0.84461239,1.691603228,0.890475818,0.597393649,1.327344516,1.475566602,1.047874609,2.077821887,1.656153431,1.14229126,2.401177601,68.97536688,64.91540802,73.2892449,68.32666089,64.16182281,72.76184473,12.47301127,10.71643554,14.51751468,9.027462533,7.318849411,11.13495786
Cd48,0.008899535,0.002233761,0.035456666,0.012719715,0.002997032,0.053983798,1.281003431,0.767500411,2.138070244,1.542599478,0.694604899,3.425851376,1.31180397,0.782377114,2.199488744,1.452309842,0.663913334,3.176926519,0.001530889,0.001110541,0.002110341,0.003513226,0.00190693,0.00647258,1.14961413,0.785328211,1.682879374,1.222171782,0.741082738,2.015569635,1.330100722,0.910994231,1.942018808,1.340094618,0.794053227,2.261628721,13.47591234,11.68665008,15.5391162,16.82666387,13.94950871,20.29724652,2.12761338,1.772599318,2.553729232,3.91472149,2.908877979,5.26836961
Wars,0.005850323,0.003002091,0.011400812,0.006515481,0.002518954,0.016852827,1.555683652,0.91913787,2.633067034,1.606351568,0.730117351,3.534178931,1.083917865,0.666737411,1.762129918,1.304874939,0.618891755,2.751205834,0.011915661,0.008552419,0.0166015,0.010655245,0.00726101,0.015636151,1.290027827,0.854453259,1.947645207,1.128234844,0.703246474,1.810053674,1.229945748,0.824138933,1.835572236,1.385023984,0.855890387,2.241281671,78.94505824,76.42510454,81.548102,87.22865109,82.97892783,91.69602174,13.27209709,11.70015022,15.05523928,12.78605636,11.63853608,14.04671826
Srp9,0.022018299,0.013776925,0.035189674,0.016192186,0.006251776,0.041937988,1.38461999,0.850272811,2.254773401,1.422095897,0.66795675,3.027676179,1.26267785,0.779962146,2.044144528,1.575820399,0.72784108,3.411747424,0.003447726,0.001876984,0.006332933,0.001406207,0.000385802,0.005125483,1.286712679,0.843308025,1.963255975,1.26306926,0.750789466,2.124888571,1.154510408,0.761108112,1.751254863,1.230918395,0.733920197,2.064475268,60.10539134,55.8604749,64.67288498,58.43743762,51.76470658,65.97031724,10.06283851,7.419140408,13.6485783,11.81162637,8.201912423,17.00999844
Rab8B;AK160964;Rab8b,0.009320951,0.003838187,0.022635721,0.006604604,0.002847605,0.015318411,1.334296022,0.799864879,2.225808283,1.487132127,0.697226117,3.171943661,1.235187421,0.74734883,2.04146699,1.376959392,0.65406176,2.898835068,0.02034804,0.016049317,0.025798152,0.021999394,0.016313587,0.029666887,1.384208196,0.93188107,2.056091051,1.571941579,0.968172743,2.552230833,1.27127949,0.877995302,1.840729145,1.165216968,0.731698678,1.855587037,250.0159284,236.2142512,264.6240189,219.0907925,208.8166558,229.8704342,30.33776516,25.96962303,35.44063748,27.57458977,22.06753751,34.45595144
Rps10,0.004949626,0.002418282,0.010130661,0.006170329,0.003264748,0.011661838,1.343545677,0.808182184,2.23354959,1.445395216,0.70425058,2.966511338,1.274606409,0.772037408,2.104330024,1.318297773,0.648023341,2.68186176,0.000221627,8.75E-05,0.000561654,0.000790182,0.00058506,0.001067219,1.139468917,0.746549869,1.739186446,0.919776311,0.595311176,1.421086141,1.243059335,0.803573131,1.922907138,2.418623321,1.593653318,3.670646999,484.6417003,472.6927223,496.892731,378.2300068,369.0650442,387.6225621,65.93654307,61.93077575,70.20140891,38.88818616,36.13774034,41.84796858
G3BP;G3bp1,0.010718048,0.005672771,0.020250517,0.012123014,0.006451013,0.022782075,1.311477785,0.795462087,2.162232507,1.669192931,0.804515947,3.46320673,1.361084146,0.822509976,2.252313172,1.505530021,0.728791567,3.110108222,0.01638461,0.009650556,0.027817615,0.013268646,0.007834349,0.022472441,1.013214145,0.669067013,1.53437979,0.943558083,0.583889387,1.524778283,1.536121514,0.954438501,2.472311526,2.077993103,1.122313194,3.847460189,351.2556575,335.880989,367.3340884,291.7706629,277.5966972,306.668345,41.19032666,35.46977735,47.83348352,30.27798313,25.85791102,35.45360883
Uap1l1,0.003197461,0.001282851,0.007969563,0.004089597,0.001883769,0.008878377,1.25095715,0.754572272,2.073881919,1.283773825,0.618393203,2.665092739,1.254795522,0.756608169,2.081013484,1.429557496,0.679270928,3.008570733,0.016495393,0.011529731,0.023599681,0.017578422,0.01065754,0.028993643,1.454055506,0.969438593,2.180929693,1.322899015,0.805302108,2.173174249,1.132916266,0.755945618,1.697872487,1.272145015,0.766906309,2.110235529,412.0510209,401.8795066,422.4799748,407.0924103,396.9497542,417.4942264,50.5788082,46.93872752,54.50117577,44.20746575,39.12953071,49.94437686
Mcm5,0.020585942,0.012849127,0.032981309,0.028608581,0.01485354,0.055101403,1.373116104,0.843513413,2.235231601,1.372484056,0.669160133,2.815039916,1.379670808,0.847106331,2.247051486,1.435781135,0.696694938,2.958924138,0.012750561,0.005424122,0.029972928,0.002512774,0.000372627,0.016944628,1.204415177,0.784707152,1.848607998,1.239233351,0.736785321,2.08432396,1.271160117,0.817115325,1.977503044,1.262719673,0.747402405,2.13333669,20.83248467,18.5074046,23.44966391,12.91476272,11.11312412,15.00847955,8.693826482,6.663729075,11.34239073,6.554422272,5.125671306,8.381429233
Lcp1,0.002268804,0.000951224,0.005411417,0.002258582,0.000928721,0.005492709,1.204901292,0.730241625,1.988091441,1.469162378,0.679722513,3.175469475,1.260291241,0.759894866,2.090202322,1.137461224,0.54961874,2.35402824,0.015417097,0.012431693,0.01911943,0.012288678,0.009639656,0.015665665,1.019366648,0.715967848,1.451333837,0.933214359,0.614172816,1.417986953,1.995582419,1.453234397,2.740335076,3.466508644,2.538226773,4.734282335,2762.237631,2714.997791,2810.299424,3492.3,3427.709969,3558.107134,209.2841568,191.5760396,228.6291039,277.1646203,262.9709178,292.1244196
Nomo1,0.007884406,0.002913876,0.021333735,0.018535353,0.011825074,0.029053459,1.2326734,0.744121077,2.041984507,1.043894207,0.540884996,2.014689119,1.389712709,0.822405903,2.348355485,2.900163216,1.573100419,5.34673221,0.006180487,0.002532391,0.015083934,0.00197639,0.000393126,0.009936049,1.219088836,0.795007546,1.869388032,1.226843847,0.730648481,2.060013621,1.213481564,0.789964109,1.864056213,1.265167226,0.748575937,2.138257498,17.2557393,16.05874948,18.54195055,18.55703523,17.67128167,19.48718622,4.191717652,3.459904476,5.078318491,3.855323934,3.368311314,4.412752044
Nap1l4,0.011089809,0.007044627,0.017457823,0.007205987,0.00370421,0.014018173,1.641861064,1.001433211,2.691849767,1.54391483,0.743012516,3.20811958,1.093330774,0.683763837,1.748223751,1.35134544,0.657908842,2.775664928,0.00456297,0.000636917,0.032689819,0.00909414,0.002212407,0.037381625,1.20148602,0.781001034,1.848356907,1.303716238,0.772401344,2.200508896,1.227827322,0.794176984,1.898266964,1.279093179,0.757714492,2.159229337,300.6254886,290.3652231,311.2483081,317.2740537,307.0963136,327.789103,44.17523918,38.51321923,50.66966085,44.66185312,40.39000265,49.38551605
A830007P12Rik,0.014660961,0.002448672,0.087779725,0.020289904,0.005997352,0.068643666,1.317842863,0.784237958,2.214518941,1.477491744,0.675586479,3.2312397,1.315976954,0.783461522,2.210440837,1.542513504,0.707646895,3.362337808,0.001867414,0.000460375,0.007574766,0.000842684,0.000218783,0.003245752,1.195782312,0.778346486,1.837093585,1.240401942,0.737730371,2.085581722,1.206224711,0.783725079,1.856490361,1.238364438,0.737246819,2.08009915,4.21042963,2.598574388,6.82209359,3.368777278,2.781101872,4.080634539,2.603474272,1.483658246,4.568490285,0.7747177,0.440608956,1.362177293
Arfrp1,0.015576083,0.006234638,0.038913947,0.009440764,0.003243265,0.027480958,1.23655378,0.747728232,2.044947864,1.355794042,0.635794083,2.891152234,1.479970822,0.868248099,2.522681748,1.601855172,0.722062054,3.553628083,0.005368305,0.001659492,0.017365978,0.000890198,0.000205719,0.003852112,1.244418664,0.806475769,1.92017897,1.244924971,0.739645635,2.095379342,1.172340309,0.764970169,1.796647577,1.228787863,0.731793179,2.063314684,5.590003527,4.462283231,7.002724348,13.25221504,12.12631032,14.48265786,5.35293011,4.314020793,6.642031214,6.333262591,5.712584936,7.021377448
Prmt5;Jbp1,0.003060707,0.001061914,0.008821734,0.011415783,0.00407442,0.031984943,1.29811838,0.7757809,2.172148512,1.413608386,0.659958325,3.027901298,1.235399556,0.744398596,2.050261878,1.571627931,0.718370933,3.438355087,0.001201163,0.000341942,0.004219408,0.00127254,0.000284107,0.005699827,1.179074524,0.768675338,1.808587664,1.229093768,0.732124807,2.063407054,1.20261957,0.781744809,1.85008434,1.251607937,0.742546858,2.109661381,17.93394857,17.09518317,18.81386753,23.4926665,21.55525476,25.60421509,3.571036652,3.21899873,3.961574341,2.902410437,2.453015932,3.434134379
Fam129b,0.005845834,0.002189743,0.015606293,0.005212221,0.002050831,0.013246944,1.386833935,0.820756935,2.34333489,1.653955359,0.745704714,3.668433736,1.176137228,0.712205887,1.942273721,1.197252982,0.574388285,2.495550032,0.014098805,0.011459917,0.017345353,0.023451453,0.01808509,0.030410171,0.893399206,0.632256166,1.262403097,1.058813998,0.692546265,1.618790166,1.968859069,1.476310567,2.625738865,2.954630922,2.094302017,4.168378683,86.52811256,82.58920067,90.65488226,108.9776889,103.8652464,114.3417754,24.16772923,22.516677,25.93984609,17.56930384,14.70107741,20.99713028
Oasl1,0.010658401,0.00219201,0.051825276,0.010730823,0.00234453,0.049114568,1.296348205,0.773966056,2.171307972,1.416240796,0.649485425,3.088195539,1.313643143,0.782790319,2.204496229,1.561212367,0.692883222,3.517741486,0.004138702,0.003176461,0.005392435,0.005023582,0.003491338,0.007228284,1.211054524,0.786048743,1.865855106,1.260070421,0.746191494,2.12784182,1.304194273,0.878016188,1.937233873,1.211391012,0.732012406,2.004703981,2.99657542,1.163154616,7.719923146,2.564837703,0.636366194,10.33743229,11.52184284,9.366413871,14.17328599,10.04412339,7.15816252,14.09361892
Mobkl1a;AK046278;Mobkl1b,0.056265421,0.043404294,0.072937428,0.055773173,0.041138356,0.075614271,1.47845683,0.972229552,2.248270064,1.690927003,0.997867045,2.865345783,0.909878775,0.596726445,1.387368353,0.811378454,0.451683791,1.457512998,0.02717892,0.020689551,0.035703708,0.056045467,0.042755237,0.073466893,1.232231052,0.84137176,1.804664047,1.41743124,0.931092459,2.157800012,1.46964097,1.017587296,2.122515277,1.751291529,1.169451051,2.62261684,97.15499807,91.08315468,103.6316066,141.5375339,133.394358,150.1778171,13.24896464,9.556226284,18.36865922,15.19634404,10.91503986,21.15694264
Nck1,0.02377314,0.011365502,0.049726107,0.016913082,0.00865052,0.033067646,1.30558315,0.789171732,2.159919435,1.391461006,0.67582116,2.864905461,1.348795803,0.812988986,2.237730336,1.610096503,0.77396496,3.349519527,0.001290519,0.000806592,0.002064786,0.001800627,0.001171907,0.002766651,1.227700084,0.811539211,1.85727008,1.157285947,0.720080133,1.859946832,1.221420188,0.805986455,1.85098306,1.387503497,0.845204016,2.277752965,7.383473821,6.648641332,8.199522721,9.177276947,8.510952754,9.895767794,0.676049104,0.440818316,1.036804448,0.636311949,0.361529345,1.119944761
Ndufb3,0.004147339,0.001336474,0.012869998,0.004373272,0.00152202,0.012565872,1.303887384,0.777980347,2.185302387,1.285492868,0.606626395,2.724068595,1.263576752,0.758558662,2.104815736,1.568415571,0.697121543,3.528692275,0.002108103,0.000554646,0.008012504,0.000632271,0.000183972,0.002172978,1.203243409,0.782491034,1.85023807,1.210831438,0.723402375,2.02669057,1.195466411,0.777942782,1.837075905,1.244997435,0.739690229,2.095496945,46.83111741,41.51707042,52.82534475,36.94923138,33.59127421,40.64286728,11.36013228,7.121599618,18.12129469,6.978102668,4.467330584,10.90000302
Cyc1,0.018498888,0.008323553,0.041113316,0.006287743,0.001873395,0.021103779,1.30960824,0.789106204,2.17343842,1.401104783,0.647331683,3.032594675,1.382917161,0.82726309,2.311791614,1.448120685,0.663204353,3.162002045,0.004037792,0.00171414,0.00951134,0.001618574,0.000289744,0.009041712,1.270617025,0.826224661,1.95402982,1.231924913,0.733073036,2.070242548,1.160869051,0.760464411,1.772097333,1.256496602,0.744688395,2.120059504,46.66642605,41.68916867,52.23791669,42.88339062,35.41521488,51.92641631,12.09534331,9.169874129,15.95412627,33.93845846,28.14875186,40.91900659
1700112E06Rik,0.007549024,0.001558455,0.036566837,0.019759373,0.00974785,0.040053226,1.279663399,0.765078293,2.140354038,1.398355778,0.675790023,2.893500665,1.299767134,0.775590647,2.178203941,1.462840506,0.703650507,3.041143755,0.005013421,0.000524538,0.04791721,0.003098808,0.000341481,0.028120469,1.214457244,0.787717544,1.872379774,1.254748051,0.743933663,2.116307876,1.211299641,0.786135125,1.86640537,1.256940892,0.744872197,2.121035545,2.999386707,0.34077157,26.39985672,20.3598659,17.728875,23.38129969,19.99920197,14.50798173,27.56882984,6.837373435,4.816053277,9.707051148
Tsc22d4,0.037721727,0.017095738,0.08323295,0.022769363,0.012954569,0.040020158,1.422375674,0.871020421,2.322738375,1.327879776,0.653340553,2.698844714,1.342113592,0.82496659,2.183444657,2.679645788,1.320046576,5.439581966,0.003409146,0.000625818,0.018571339,0.000659117,0.000188788,0.002301181,1.205832245,0.783500214,1.855814943,1.247287316,0.742210628,2.096070293,1.210130947,0.785680366,1.863883803,1.197003591,0.716262938,2.000407282,4.778018018,2.617143074,8.723044761,4.928390103,4.302227892,5.645686286,3.177060865,1.289421651,7.828095438,3.919320999,3.410319876,4.504292165
limd1;Limd1,0.028367704,0.015463017,0.052042019,0.010595014,0.002887651,0.038873928,1.309081311,0.797112158,2.149877986,1.442609363,0.662964891,3.139113101,1.279327811,0.780581575,2.096743891,1.488951942,0.678891109,3.26558686,0.00283694,0.001966319,0.004093042,0.000765581,0.00035216,0.001664342,1.157264933,0.783009325,1.7104038,1.077629898,0.654404903,1.774568302,1.334348036,0.888229016,2.004533347,1.527098627,0.872809929,2.671864904,7.297951806,6.609268672,8.058395444,6.509890484,5.698474762,7.436845101,0.963835547,0.684656089,1.356854891,1.324348851,1.09618153,1.600008604
Slfn1,0.015126855,0.005021647,0.045567069,0.013904968,0.005344892,0.036174376,1.358038706,0.808287504,2.281699418,1.479523543,0.690559149,3.169880403,1.272119786,0.764856855,2.115806037,1.392097542,0.656770072,2.950706266,0.001805557,0.001060564,0.003073872,0.002316741,0.001657111,0.003238944,1.261025719,0.811699508,1.95908196,1.590020312,0.882380104,2.865165005,1.145693543,0.748487291,1.753688687,1.530819173,0.964327328,2.430095334,6.056417229,5.127151972,7.154106187,6.723379879,6.120995712,7.385046343,3.770934541,3.089969427,4.601970228,1.357652446,1.11860628,1.647782777
Gphn,0.018809772,0.004542167,0.077893997,0.010418361,0.005504,0.019720612,1.328468997,0.791967727,2.228411354,1.340212296,0.655635109,2.739586354,1.306888763,0.781256478,2.186168418,1.646325423,0.796722064,3.401923358,0.003478324,0.001647117,0.007345405,0.005136941,0.003931753,0.006711553,1.221990495,0.795699597,1.876663977,3.112106606,2.114850708,4.579617601,1.219574135,0.797163377,1.865817113,0.978176088,0.641787925,1.490879498,7.446302849,6.239435957,8.886608742,7.093167578,6.792401125,7.407251923,0.532995233,0.326832853,0.869202455,0.173113088,0.086786773,0.345307701
Mospd2,0.016832869,0.005176379,0.054738167,0.02596576,0.005429914,0.124167829,1.303685912,0.781421596,2.175006378,1.616474133,0.722326921,3.617459831,1.362812945,0.806213616,2.303681165,1.539368429,0.700584397,3.382397853,0.005184459,0.002294335,0.011715211,0.001586443,0.00040376,0.006233406,1.239890951,0.808291713,1.901948945,1.240172859,0.738592865,2.082376902,1.203050677,0.78403946,1.845992459,1.233149303,0.734870883,2.069284878,2.226359831,1.351672593,3.66707006,1.410326086,0.728541758,2.73013818,1.16824857,0.458231967,2.978414469,1.049958592,0.508975637,2.165944623
Ptpn2,0.018098856,0.009092466,0.036026376,0.026613978,0.015811164,0.044797703,1.209500221,0.737540177,1.98347267,1.749101513,0.878649245,3.481885543,1.518298051,0.901598563,2.556824141,1.520679773,0.761855643,3.035308583,0.000528867,0.000276154,0.001012845,0.00121641,0.000732239,0.002020724,1.170576056,0.769276036,1.781217977,1.179098713,0.722192037,1.925074916,1.187147857,0.780167937,1.806431624,1.279640266,0.780343937,2.098407039,4.300708547,3.955690092,4.675819787,5.52791526,5.05286269,6.047630621,0.916183599,0.756038248,1.110251221,0.365235316,0.156574912,0.851968136
Alcam,0.024576762,0.013286664,0.045460413,0.027365186,0.011786093,0.063537032,1.372334054,0.832255866,2.262886729,1.541868611,0.72432931,3.282151891,1.167198423,0.717144526,1.899689824,1.474141665,0.701650882,3.097115255,0.003166651,0.002411869,0.004157639,0.001871138,0.001293827,0.002706048,1.265709182,0.86280254,1.856762884,1.338851411,0.826637474,2.168451293,1.167346164,0.804323508,1.694215142,1.443490858,0.907324189,2.296495435,4.344229229,3.862304146,4.886287274,4.471793915,3.741926512,5.34402286,0.552476307,0.277275571,1.100818469,1.564451287,1.119251262,2.186736718
Hausp;Usp7,0.00700669,0.002609583,0.018812858,0.00647907,0.004012646,0.010461515,1.265362953,0.76187356,2.101586781,1.093259672,0.554685617,2.154764201,1.347595111,0.802855052,2.261943273,4.198106987,2.25443667,7.81751934,0.003946949,0.00201419,0.00773433,0.000736658,0.000248312,0.002185414,1.20018486,0.787845194,1.828333421,1.218404809,0.728726359,2.037129934,1.19309167,0.781972641,1.820354907,1.222985564,0.730989959,2.046120704,15.39929421,13.89858196,17.06204725,18.49696709,17.65633868,19.3776183,4.587916778,3.383493131,6.221079677,5.897619449,5.189905941,6.701839217
mKIAA0891;Usp19,0.087300015,0.017161955,0.444080688,0.074920667,0.04543159,0.123550734,1.363725254,0.810909442,2.293408451,1.423509608,0.721975452,2.806715381,1.363077547,0.810429452,2.29258746,1.365776216,0.675553933,2.761207627,0.00190628,0.000520077,0.006987239,0.001368398,0.00043563,0.004298403,1.180902361,0.770179756,1.810655728,1.208297952,0.723454361,2.018073315,1.217031492,0.790478604,1.873758056,1.318534162,0.775200199,2.242688197,0.932893238,0.408585156,2.130008353,2.875372713,2.457463889,3.36434984,2.621294175,2.173424567,3.161454626,1.627860626,1.317270917,2.011682019
Trappc3,0.014540777,0.010896667,0.019403565,0.009142043,0.005333006,0.01567164,1.075290391,0.698043596,1.656414344,1.34187211,0.665856008,2.704219437,1.667465011,1.093557417,2.542563856,2.447151831,1.207087477,4.961158324,0.016810898,0.010887124,0.025957847,0.004086267,0.000606158,0.027546564,1.211209857,0.807074164,1.817713148,1.239115096,0.73683054,2.083798293,1.171659877,0.782568429,1.754206811,1.282420806,0.756367915,2.174342792,120.1455336,115.9676528,124.4739279,106.5980864,101.4934705,111.9594391,16.05507406,12.74933105,20.21795511,21.14674281,17.55136737,25.47862636
S100a4,0.005088109,0.00233293,0.011097142,0.002356959,0.001001335,0.005547847,1.264981509,0.765375282,2.090710601,1.364403911,0.643424278,2.893266689,1.28189194,0.774444459,2.121839631,1.302911267,0.619589353,2.73984335,0.019053787,0.015671878,0.023165494,0.01674146,0.01406538,0.019926691,0.968997125,0.700822641,1.339790375,1.014907825,0.738163971,1.395405266,1.461364309,1.043262222,2.047026719,1.675907389,1.231550188,2.280593681,10849.78781,10562.89693,11144.47073,10281.90797,10098.33715,10468.81579,211.0902254,167.0875449,266.6810581,146.1483859,116.0890575,183.9910768
Ctsd,0.002176133,0.0008079,0.005861561,0.00354539,0.001303219,0.009645188,1.138117956,0.690042084,1.877149975,1.103972666,0.530720075,2.296418969,1.439867864,0.832827724,2.48937374,1.898731923,0.776711039,4.641601229,0.012568857,0.009703466,0.016280385,0.019490357,0.014285066,0.026592389,1.61376689,1.123145618,2.318705192,1.922526692,1.253272317,2.949166617,1.004150931,0.6921036,1.456890402,0.932328808,0.598796065,1.451641145,5644.357085,5494.773724,5798.01253,6008.429086,5787.834417,6237.431393,379.784277,316.3133495,455.9911787,491.9016808,417.3593848,579.7575719
Ranbp1,0.006102193,0.003252009,0.011450387,0.003816965,0.001615681,0.009017387,1.343890787,0.813543172,2.219971244,1.519743015,0.704858879,3.276710984,1.240790887,0.757240233,2.033122328,1.203243329,0.579493105,2.49838091,0.008650873,0.00256228,0.029207427,0.001614589,0.000350231,0.007443371,1.211091146,0.788375843,1.860460055,1.230109301,0.732730362,2.065110128,1.214548084,0.789565801,1.868276269,1.258644992,0.746451922,2.122289686,790.7080743,765.46979,816.7784893,710.1098571,691.2594992,729.4742564,95.42957044,79.01297157,115.2570614,73.71675817,66.51240735,81.70145468
H2-Ke6,0.00350119,0.001178293,0.010403467,0.005676196,0.002035518,0.015828504,1.211343667,0.731082059,2.007098193,1.182151179,0.564484893,2.475675482,1.353703784,0.800051505,2.290494955,1.844623406,0.779016386,4.367861283,0.004375764,0.000772484,0.02478668,0.003024769,0.000558185,0.016391037,1.216329849,0.789611091,1.873654409,1.291144019,0.762139536,2.187332897,1.202456347,0.781659233,1.84978467,1.22331994,0.728783377,2.053438269,23.46204974,21.41442817,25.7054624,37.6291147,35.30181213,40.10984672,9.165227094,7.494948828,11.20773332,9.837084146,8.480803835,11.41026563
Ube2d3;Ube2d2b,0.005434186,0.001680033,0.017577257,0.028720399,0.012548563,0.065733524,1.221802506,0.736205441,2.027696728,1.3777066,0.65502646,2.897708096,1.345427207,0.797204681,2.270651956,1.54390165,0.724146775,3.291642508,0.023211999,0.01171078,0.046008627,0.002864453,0.000376767,0.021777633,1.298781367,0.843405389,2.000026395,1.246650271,0.740313414,2.09929588,1.17297446,0.769891298,1.787095253,1.271167416,0.751187064,2.151084166,122.859803,102.5315298,147.2184333,121.6393518,104.6418827,141.3977991,39.94031796,23.42664278,68.09464819,44.13993725,34.25209151,56.88219243
Ppp3ca,0.020619663,0.013055607,0.032566122,0.011177952,0.005596121,0.022327361,1.489500545,0.912670538,2.430901162,1.935923652,0.903758882,4.146902962,1.206763237,0.749193345,1.943793975,1.240109509,0.606307844,2.536453402,0.00425092,0.001678451,0.010766067,0.00182407,0.00080299,0.004143551,1.214123634,0.792044347,1.861128362,1.257091296,0.75434174,2.094910625,1.208177026,0.787014939,1.854719211,1.178546034,0.711655484,1.951746015,28.71195765,26.08048934,31.60893576,33.69127952,31.39310056,36.1577001,6.156036533,4.141403567,9.150710668,8.333930928,6.779910971,10.24414701
Casp7,0.016997786,0.00747766,0.038638391,0.017564918,0.011054364,0.027909913,1.377079149,0.824259748,2.300666733,2.629902985,1.423690154,4.858072308,1.261285154,0.763167861,2.084522056,0.907246547,0.474298659,1.735396638,0.01237582,0.008328366,0.018390273,0.015436447,0.010422986,0.022861384,1.081842134,0.72189861,1.621255931,1.141506672,0.704685336,1.84910543,1.473013118,0.973387227,2.229089908,1.703833334,1.051722972,2.760278236,35.5834625,30.98086506,40.86983373,34.11498203,30.43340334,38.24192732,9.805649686,6.571044337,14.63249384,11.59062729,8.390132395,16.01198106
